"paper", "problem", "OOD", "range", "input", "geometry", "encoding", "backbone", "data", "amount", "model params", "beats"
"BCAT", "regression", "none", "none", "2D", "regular", "patched, embedded - per frame", "transformer (GPT-2/Llama)", "PDEBench, PDEArena, CFDBench", "amount", "156M", "MPP, DPOT"
"MAE-PDE", "regression, classification", "finetuning", "multi-physics", "1D, 2D - multiple timesteps", "regular", "patched, embedded", "ViT", "(KdV)-Burgers, Heat, Advection", "1e+5", "", "FNO, U-Net"
"CODA-NO", "regression", "few-shots", "multi-physics", "2D - 1 frame", "irregular", "learned positional encoding + physical quantity to form physical tokens through GNO ; passed through a tgransformer", "transformer", "fluid-structure interaction, Rayleigh-Bénard convection, PDEBench", "", "", "DeepONet, GINO"
"ICON", "regression", "zero-shot", "multi-physics", "1D - multiple timesteps", "irregular", "token for each point of each example pair and of the sequence of interest ; passed through a transformer", "transformer", "12 ODEs", "1e+6", "", ""
"PROSE-PDE", "regression", "finetuning", "multi-physics", "1D - muliple timesteps", "irregular", "tokenized, transformed / same for the symbolic equation", "transformers", "12 different PDE systems", "1e+5", "", "DeepONet, FNO"
"Poseidon", "regression", "finetuning", "multi-physics", "2D - 1 frame", "regular", "patched, embedded", "ViT (SwinV2) in a UNet shape", "Euler, Navier-Stokes", "PT 1e+5 / TL 1e0 - 1e3", "20M - 600M", "MPP"
"UPT", "regression", "none", "none", "2D (3D?) - 1 frame", "irregular", "embedding, message passing, transformer, perceiver", "transformer", "ShapeNet-Car, Navier-Stokes, TGV3D (Lagrangian formulation)", "", "8M - 68M", "FNO"
"UPS", "regression", "zero-shot, finetuning", "multi-physics", "1D, 2D - 1 frame", "regular", "projection into a superspace through zero-padding, FNO, tokenized along with PDE description text tokenized", "pre-trained LLM", "Burgers, Advection, Diffusion-Sportion, Shallow-Water, Navier-Stokes", "PT 1e+4 / FT 1e+2", "150M - 400M", "DPOT, MPP, FNO"
"DPOT", "regression", "finetuning", "multi-physics", "2D - 10 frames", "irregular", "resolutions unified through interpolation, mask for irregular grids, patched, temporal aggregation", "FNO (on steroids)", "PDEBench, PDEArena , CFDBench", "", "7M - 1B", "MPP, FNO"
"MPP", "regression", "zero-shot, finetuning", "multi-physics", "2D - 16 frames", "regular", "ReVIN, shared embedding space for each field, patched", "ViT (axial attention)", "PDEBench", "PT 1e+4 / TL 1e+2 - 1e+3", "8M - 400M", ""
"FNO", "regression", "finetuning", "parametric", "2D - past frames", "regular", "none", "FNO (with per-instance normalization)", "Poisson, Advection-Diffusion, Helmoltz", "PT 1e+4 / TL 1e+2", "64K - 256M", ""
